Locals,Area,Bath,Floor,Zone,Price
3,67,1,6,San Giovanni,439000
3,62,1,0,La Rustica,205000
2,50,1,4,Balduina,245000
2,65,1,3,San Giovanni,299000
2,77,1,1,Cinecittà,245000
5,150,1,5,Centocelle,370000
2,68,2,1,Ponte Galeria,125000
3,100,1,2,Centro Giano,249000
3,70,2,1,Villa Gordiani,175000
3,90,1,2,Appio Latino,380000
4,124,2,5,Torrino,365000
1,34,1,0,Torre Gaia,37500
3,85,1,0,Torre Angela,175000
2,55,1,1,Morena,181000
2,55,1,4,Balduina,280000
4,110,2,10,Colli Aniene,310000
4,108,1,6,Spinaceto,200000
3,100,2,1,Casal Lumbroso,219000
4,100,1,0,Ponte di Nona,200000
3,100,1,1,Ottavia,180000
1,40,1,0,Ponte Mammolo,99000
3,60,1,2,Torre Spaccata,155000
4,72,2,1,Ponte Galeria,260000
2,57,1,6,Pigneto,210000
2,45,1,1,Morena,155000
2,73,1,5,Cinecittà,140000
4,100,1,2,Pigneto,290000
3,60,1,0,Morena,239000
2,74,1,1,Cinecittà,169000
3,100,2,2,Morena,255000
2,59,1,0,Tomba di Nerone,200000
4,100,1,1,Corcolle,165000
3,70,1,0,Balduina,299000
3,110,3,S,Testaccio,350000
2,74,1,2,Primavalle,260000
3,118,2,4,Ostia Levante,260000
5,100,1,1,Casaletto,439000
3,95,2,1,Cinecittà,298000
2,50,1,3,Saxa Rubra,79000
3,75,2,R,Morena,189000
4,90,3,2,Esquilino,410000
4,169,1,2,San Giovanni,570000
3,80,1,0,Colle del Sole,295000
4,140,2,1,Piccolomini,620000
2,60,1,2,Borghesiana,79000
2,50,1,3,Euclide,295000
5,120,2,6,Tor de' Schiavi,350000
2,50,1,1,Settecamini,120000
3,60,1,4,Pigneto,150000
3,96,1,4,Ostia Ponente,209000
2,70,1,1,Torre Spaccata,180000
3,90,2,1,Val Cannuta,375000
2,61,1,3,Pigneto,185000
5,140,2,1,Tor de' Schiavi,340000
4,140,2,6,Cinecittà,370000
3,70,1,1,Rocca Cencia,139000
1,50,1,1,Ponte di Nona,110000
5,140,2,A,Fleming,790000
4,100,2,7,Tor de' Schiavi,330000
3,95,1,3,Tomba di Nerone,330000
2,30,1,0,Rocca Cencia,60000
1,30,1,0,Ostia Levante,68000
2,40,1,3,Tor de' Schiavi,150000
5,85,2,0,Cortina d'Ampezzo,480000
5,120,2,4,Cinecittà,295000
4,95,1,1,Dragona,199000
2,55,1,0,Fontana Candida,100000
4,125,3,6,Tintoretto,600000
4,122,2,2,Casal Bertone,500000
2,58,1,A,San Giovanni,419000
5+,330,3,1,Piazzale degli Eroi,950000
1,70,1,0,Anagnina,90000
3,80,1,4,Villa Chigi,270000
3,82,1,1,Anagnina,169000
3,90,2,2,Due Ponti,368000
2,45,1,5,Monti,370000
3,131,1,5,Torpignattara,295000
4,115,1,1,Marconi,259000
4,85,1,1,Morena,300000
5+,600,1,3,Repubblica,5000000
4,120,2,4,Cinecittà,295000
4,120,2,2,La Storta,179000
5,215,2,3,Cinecittà,849000
5,150,2,0,Fleming,670000
3,104,2,1,Marconi,339000
3,93,1,3,Borghesiana,175000
5+,226,3+,3,Barberini,1550000
3,105,1,4,Piccolomini,510000
3,80,1,1,Monti Tiburtini,219000
2,40,1,0,Ponte Mammolo,99000
2,40,1,0,Ponte Mammolo,99000
2,44,1,S,Trastevere,240000
2,40,1,0,Ponte Mammolo,99000
2,50,1,4,Giuliano Dalmata,250000
3,110,2,2,Magliana,195000
2,45,1,3,Vigna Stelluti,240000
1,70,1,0,Monti,380000
2,65,1,3,Primavalle,195000
3,67,1,A,San Giovanni,439000
4,90,1,1,Centocelle,199000
3,55,1,4,Villa Chigi,250000
4,120,2,2,Ponte Galeria,290000
3,130,2,2,Casaletto,380000
4,160,1,0,Tor de' Schiavi,289000
2,30,1,0,Trionfale,75000
1,20,1,0,Pigneto,42000
2,50,1,3,Centocelle,175000
2,49,1,4,Torrevecchia,149000
3,75,1,2,Val Cannuta,285000
4,98,1,0,Furio Camillo,219000
2,53,1,A,San Giovanni,379000
2,58,1,A,San Giovanni,419000
3,67,1,A,San Giovanni,439000
5+,100,2,0,Anagnina,210000
2,53,1,A,San Giovanni,379000
2,58,1,A,San Giovanni,419000
3,93,1,3,Nuovo Salario,293000
3,67,1,A,San Giovanni,439000
3,88,1,A,San Giovanni,539000
5,120,1,0,Monti Tiburtini,430000
4,150,2,0,Parioli,540000
5,204,3,1,Vigna Stelluti,715000
3,94,1,2,Parioli,459000
2,40,1,0,Re di Roma,145000
2,60,1,0,Borghesiana,135000
3,176,2,4,Villa Ada,1050000
4,135,1,3,Sallustiano,649000
5,130,2,1,Casaletto,440000
2,73,1,0,Ostia Ponente,155000
5,215,3,1,Monteverde Vecchio,1080000
3,70,1,0,Castelverde,159000
3,100,1,R,San Giovanni,329000
4,193,3,1,Monteverde Vecchio,960000
4,120,2,1,Pietralata,285000
3,85,2,4,Tor Cervara,119000
2,60,1,0,Torre Spaccata,90000
5,174,2,4,Vigna Stelluti,950000
4,120,2,2,Re di Roma,479000
2,50,1,0,Tomba di Nerone,149000
4,130,2,0,Rinnovamento,580000
5+,170,1,S,San Giovanni,390000
2,60,1,A,Appio Latino,329000
2,55,1,1,Corviale,205000
5,196,3,A,Monteverde Vecchio,970000
4,135,2,1,Colli Albani,445000
5+,190,2,0,Mostacciano,329000
3,80,1,2,Torre Maura,140000
5+,200,3,5,Aventino,1290000
5,130,2,4,Porta di Roma,405000
3,80,1,3,Borghesiana,119000
5,130,2,1,Baldo degli Ubaldi,419000
1,42,1,3,Garbatella,185000
3,95,1,3,Magliana,259000
4,93,2,1,Centocelle,239000
3,113,1,0,San Basilio,280000
2,55,1,1,Centocelle,119000
3,102,1,3,Centocelle,228000
2,60,1,3,Centocelle,145000
2,53,1,1,Centocelle,145000
3,106,1,2,Pigneto,335000
3,65,1,2,Centocelle,179000
4,107,2,2,Torre Gaia,229000
3,56,1,2,Centocelle,159000
2,66,1,0,Centocelle,185000
4,89,2,0,Tor de' Schiavi,419000
1,46,1,3,Centocelle,129000
3,110,1,2,Re di Roma,365000
5+,300,2,1,Esquilino,1520000
3,88,1,4,Cinecittà,235000
2,64,1,2,Torrevecchia,235000
3,94,1,2,Villa Gordiani,232000
